name,datetime,conditions,description,icon
NH,2020/1/1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain
NH,2020/1/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/4,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
NH,2020/1/5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain
NH,2020/1/6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
NH,2020/1/9,Snow,Clear conditions throughout the day with early morning snow.,snow
NH,2020/1/10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
NH,2020/1/13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/14,Overcast,Cloudy skies throughout the day.,cloudy
NH,2020/1/15,Partially cloudy,Partly cloudy throughout the day.,snow
NH,2020/1/16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow
NH,2020/1/17,Clear,Clear conditions throughout the day.,snow
NH,2020/1/18,"Snow, Partially cloudy",Becoming cloudy in the afternoon with snow.,snow
NH,2020/1/19,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow
NH,2020/1/20,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2020/1/21,Clear,Clear conditions throughout the day.,clear-day
NH,2020/1/22,Clear,Clear conditions throughout the day.,clear-day
NH,2020/1/23,Clear,Clear conditions throughout the day.,clear-day
NH,2020/1/24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
NH,2020/1/26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2020/1/27,Overcast,Cloudy skies throughout the day.,cloudy
NH,2020/1/28,Overcast,Cloudy skies throughout the day.,cloudy
NH,2020/1/29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/1/30,Clear,Clear conditions throughout the day.,clear-day
NH,2020/1/31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2020/2/1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/2/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/2/3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/2/4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/2/5,Partially cloudy,Clearing in the afternoon.,snow
NH,2020/2/6,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow
NH,2020/2/7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
NH,2020/2/8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2020/2/9,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow
NH,2020/2/10,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain
NH,2020/2/11,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain
NH,2020/2/12,Partially cloudy,Partly cloudy throughout the day.,snow
NH,2020/2/13,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
NH,2020/2/14,Clear,Clear conditions throughout the day.,clear-day
NH,2020/2/15,Clear,Clear conditions throughout the day.,clear-day
